586	CCDS14103.1	chrY	+	150854	166002	150854	166002	6	150854,155399,157314,158165,159701,165763,	150981,155536,157443,158321,159885,166002,	0		cmpl	cmpl	0,1,0,0,0,1,
586	CCDS14105.1	chrY	-	245101	251653	245101	251653	4	245101,249338,249512,251499,	245252,249445,249631,251653,	0		cmpl	cmpl	2,0,1,0,
73	CCDS14104.1	chrY	-	245101	297426	245101	297426	13	245101,249338,249512,251499,252041,252617,256250,256908,257435,257968,258324,272139,297102,	245252,249445,249631,251675,252131,252666,256407,256995,257510,258071,258428,272325,297426,	0		cmpl	cmpl	2,0,1,2,2,1,0,0,0,2,0,0,0,
589	CCDS14107.1	chrY	+	541632	555371	541632	555371	5	541632,545352,551555,551733,555125,	541909,545561,551613,551822,555371,	0		cmpl	cmpl	0,1,0,1,0,
589	CCDS14106.1	chrY	+	541632	569564	541632	569564	5	541632,545352,551555,551733,569519,	541909,545561,551613,551822,569564,	0		cmpl	cmpl	0,1,0,1,0,
595	CCDS35193.1	chrY	+	1351596	1374394	1351596	1374394	6	1351596,1354670,1357411,1357651,1359229,1374338,	1351672,1354813,1357535,1357781,1359402,1374394,	0		cmpl	cmpl	0,1,0,1,2,1,
595	CCDS35192.1	chrY	+	1351596	1374394	1351596	1374394	9	1351596,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1374338,	1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1374394,	0		cmpl	cmpl	0,1,0,1,2,1,0,0,1,
595	CCDS35191.1	chrY	+	1351596	1378372	1351596	1378372	11	1351596,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1372815,1374338,1378294,	1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1372912,1374420,1378372,	0		cmpl	cmpl	0,1,0,1,2,1,0,0,1,2,0,
595	CCDS35190.1	chrY	+	1351596	1378482	1351596	1378482	9	1351596,1354670,1357411,1357651,1359229,1363220,1364319,1369383,1378294,	1351672,1354813,1357535,1357781,1359402,1363354,1364349,1369519,1378482,	0		cmpl	cmpl	0,1,0,1,2,1,0,0,1,
74	CCDS14113.1	chrY	+	1410658	1451358	1410658	1451358	11	1410658,1414208,1417323,1420992,1421214,1425113,1427753,1434030,1447551,1449915,1451283,	1410722,1414327,1417438,1421125,1421399,1425229,1427780,1434145,1447657,1449997,1451358,	0		cmpl	cmpl	0,1,0,1,2,1,0,0,1,2,0,
596	CCDS14114.1	chrY	-	1455494	1460902	1455494	1460902	4	1455494,1456171,1458133,1460791,	1455652,1456312,1458620,1460902,	0		cmpl	cmpl	1,1,0,0,
596	CCDS43917.1	chrY	-	1472161	1521733	1472161	1521733	13	1472161,1481624,1486865,1487874,1490550,1494417,1496626,1501161,1503914,1504586,1507989,1511078,1521640,	1472382,1481747,1487009,1488007,1490735,1494580,1497014,1501270,1503976,1504651,1508037,1511210,1521733,	0		cmpl	cmpl	1,1,1,0,1,0,2,1,2,0,0,0,0,
596	CCDS14115.1	chrY	-	1534371	1535451	1534371	1535451	1	1534371,	1535451,	0		cmpl	cmpl	0,
597	CCDS14116.1	chrY	+	1662355	1670487	1662355	1670487	4	1662355,1664276,1668084,1669551,	1663117,1664425,1668325,1670487,	0		cmpl	cmpl	0,0,2,0,
74	CCDS14117.1	chrY	+	1684092	1711907	1684092	1711907	9	1684092,1692031,1693161,1696595,1698713,1701596,1702042,1705330,1711695,	1684161,1692206,1693291,1696664,1698832,1701680,1702183,1705453,1711907,	0		cmpl	cmpl	0,0,1,2,2,1,1,1,1,
